timestamp,symbol,funding_zscore,oi_expansion_rate,taker_delta,pressure_score,squeeze_probability,flow_state,whale_activity,squeeze_risk,funding_warning,flow_adjustment,final_score
2026-05-15T08:28:08.381988+00:00,CLUSDT,0.8560898626490749,7.995006611379394,0.12718972156892952,83.05219037298664,20.0,WHALE ACCUMULATION,WHALE ACCUMULATION,LOW,,15,85
2026-05-15T08:28:08.967222+00:00,BZUSDT,0.9157170864121265,1.3039196228477652,0.23266214103155958,76.66215741939206,30.0,NEUTRAL FLOW,BUY PRESSURE,LOW,,0,70
2026-05-15T08:28:09.509163+00:00,XRPUSDT,-1.0770673620962974,-1.65106922716854,0.016380992602270054,53.45264639565658,10.0,NEUTRAL FLOW,NORMAL,LOW,,0,50
2026-05-15T08:28:09.989375+00:00,XAUUSDT,3.9313357434920113,3.4432928793403366,-0.0769894591110315,53.6398797990957,30.0,NEUTRAL FLOW,NORMAL,LOW,LONGS CROWDED,-10,30
2026-05-15T08:28:10.689692+00:00,ZECUSDT,-0.435003039675156,-0.3990889253328563,-0.048183329410576986,54.08064489420497,10.0,NEUTRAL FLOW,NORMAL,LOW,,0,35
2026-05-15T08:28:11.167458+00:00,SUIUSDT,1.0849149487145597,3.0417169992678206,0.08869998409783282,56.90258879863724,10.0,NEUTRAL FLOW,NORMAL,LOW,,0,30
2026-05-15T08:28:11.622791+00:00,TONUSDT,-0.816063295435725,-1.1151646829441662,0.014734527503758721,47.936083484895654,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,30
2026-05-15T08:28:12.237559+00:00,PLAYUSDT,-2.3793773693978855,-3.712080990857982,0.06125102659117368,47.69564975607216,20.0,NEUTRAL FLOW,NORMAL,LOW,SHORTS CROWDED,5,35
2026-05-15T08:28:12.747313+00:00,TAOUSDT,0.9322225748878333,-1.412691504373545,0.06695847717388999,49.00507807067735,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,30
2026-05-15T08:28:13.067590+00:00,BTCUSDT,-1.0550037860903652,-1.6015322489433472,-0.2600032711842195,38.00585475750961,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:13.387988+00:00,ETHUSDT,-0.7473776442435512,1.4204401351724454,-0.13205052802453693,46.92020339032227,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:13.710938+00:00,SOLUSDT,0.45617289018010154,1.0915000411328604,-0.13974374025292813,46.024355431967415,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:14.050114+00:00,XAGUSDT,5.960820849459137,2.5507434250554297,-0.1664715213377234,46.93172478168579,20.0,NEUTRAL FLOW,NORMAL,LOW,LONGS CROWDED,-10,5
2026-05-15T08:28:14.370240+00:00,HYPEUSDT,0.7934415681029785,1.1714479529558532,-0.08215842163298599,47.640927000923824,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:14.695458+00:00,DOGEUSDT,-1.9374838347561525,-0.2569573178384864,-0.1401900490798213,43.732557433028425,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:15.022973+00:00,LABUSDT,-0.5131585922487838,5.725312202437398,0.0025246723840893557,60.30436578756331,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:15.435178+00:00,AIGENSYNUSDT,-3.3562649082533516,9.174321236118878,0.0089495922962713,70.44328576142347,80.0,SHORT SQUEEZE RISK,BUY PRESSURE,HIGH SHORT SQUEEZE RISK,SHORTS CROWDED,13,28
2026-05-15T08:28:15.751386+00:00,BNBUSDT,-0.8934060970941015,1.7003472781655145,-0.2800133892358363,42.234047396320406,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:16.065473+00:00,BILLUSDT,-0.9092507907812745,5.079318102035092,-0.009520276371800567,59.348334742908044,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:16.377387+00:00,1000PEPEUSDT,-0.7328446201018364,-0.9954251021129293,-0.16314914471314576,41.86058166080173,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:16.697632+00:00,CRCLUSDT,-0.32243825375409974,-3.241737189960455,-0.11949327450003559,40.35387699795473,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:17.024731+00:00,MUUSDT,-0.31941030329885767,8.551506780502635,-0.2099611001695132,54.29435253180032,30.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:17.398653+00:00,ADAUSDT,-1.0629021887166206,0.11505528904653128,-0.27802689241375445,39.769498308498434,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:17.916006+00:00,INJUSDT,0.23039432355362088,-1.3471305464322905,-0.13280582213210615,43.05332262795008,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:18.450577+00:00,LINKUSDT,-1.6810852549833777,0.4528667719910365,-0.37356172857884823,36.99582650364474,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:28:18.891419+00:00,AVAXUSDT,-0.17831002068442436,-1.9770159198076027,-0.1451622603899061,41.25935256219743,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:19.391527+00:00,UBUSDT,-0.3408910103416417,-2.4968805573846296,0.005760931632692521,43.887682589321344,25.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:28:19.813983+00:00,SNDKUSDT,0.41688731118601235,-4.269880989656771,-0.017606735130063212,42.09462535495524,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,0
2026-05-15T08:28:20.394777+00:00,MLNUSDT,-5.696029541177281,-19.62136396853327,-0.07818163744201678,27.996481279510864,55.0,NEUTRAL FLOW,SELL PRESSURE,MODERATE,SHORTS CROWDED,5,5
2026-05-15T08:28:21.039821+00:00,SIRENUSDT,-0.3781755513917425,-0.2769629033227118,-0.09756534361362201,45.03806130146602,25.0,NEUTRAL FLOW,NORMAL,LOW,SHORTS CROWDED,5,5
2026-05-15T08:29:52.627037+00:00,CLUSDT,0.8560898626490749,7.995006611379394,0.1282747470613183,83.31127179285843,20.0,WHALE ACCUMULATION,WHALE ACCUMULATION,LOW,,15,85
2026-05-15T08:29:53.188371+00:00,BZUSDT,0.9157170864121265,1.3039196228477652,0.21516261481316618,76.22335211830561,30.0,NEUTRAL FLOW,BUY PRESSURE,LOW,,0,70
2026-05-15T08:29:53.674998+00:00,XRPUSDT,-1.0770673620962974,-1.65106922716854,0.005947770734645141,53.718484596553516,10.0,NEUTRAL FLOW,NORMAL,LOW,,0,50
2026-05-15T08:29:54.241597+00:00,XAUUSDT,3.9313357434920113,3.4432928793403366,-0.06286817276647393,54.72964623449614,30.0,NEUTRAL FLOW,NORMAL,LOW,LONGS CROWDED,-10,30
2026-05-15T08:29:54.711787+00:00,ZECUSDT,-0.435003039675156,-0.3990889253328563,-0.02489713966476146,55.70471402405089,10.0,NEUTRAL FLOW,NORMAL,LOW,,0,35
2026-05-15T08:29:55.336607+00:00,LABUSDT,-0.5131585922487838,5.725312202437398,0.009285823890188274,60.8537077332013,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,30
2026-05-15T08:29:56.626660+00:00,SUIUSDT,1.0849149487145597,3.0417169992678206,0.10003112643012728,57.19493066976452,10.0,NEUTRAL FLOW,NORMAL,LOW,,0,30
2026-05-15T08:29:57.134420+00:00,TONUSDT,-0.816063295435725,-1.1151646829441662,0.0781404580776503,50.43803581034783,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,30
2026-05-15T08:29:57.625267+00:00,PLAYUSDT,-2.3793773693978855,-3.712080990857982,0.028187287132700026,45.54695646797517,20.0,NEUTRAL FLOW,NORMAL,LOW,SHORTS CROWDED,5,35
2026-05-15T08:29:59.654286+00:00,UBUSDT,-0.3408910103416417,-2.4968805573846296,0.010600832633761072,43.88054103626623,25.0,NEUTRAL FLOW,NORMAL,LOW,,0,30
2026-05-15T08:30:00.140757+00:00,BTCUSDT,-1.0550037860903652,-1.6015322489433472,-0.21663258824860135,39.52333296229494,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:30:00.637889+00:00,ETHUSDT,-0.7473776442435512,1.4204401351724454,-0.8878426449047918,21.04107664129956,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:30:01.287409+00:00,SOLUSDT,0.45617289018010154,1.0915000411328604,-0.11835735867279766,46.772878787271985,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:30:01.958185+00:00,XAGUSDT,5.960820849459137,2.5507434250554297,-0.4061108620120195,39.58666605895483,40.0,NEUTRAL FLOW,NORMAL,LOW,LONGS CROWDED,-10,5
2026-05-15T08:30:02.493189+00:00,HYPEUSDT,0.7934415681029785,1.1714479529558532,-0.4558055682052113,35.78651170003985,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:30:03.018730+00:00,DOGEUSDT,-1.9374838347561525,-0.2569573178384864,-0.378216846472243,36.41200373378358,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:30:03.813270+00:00,AIGENSYNUSDT,-3.3562649082533516,9.301881059540065,0.5703772405589048,84.00127650077287,75.0,SHORT SQUEEZE RISK,BUY PRESSURE,HIGH SHORT SQUEEZE RISK,SHORTS CROWDED,13,28
2026-05-15T08:30:04.373618+00:00,BNBUSDT,-0.8934060970941015,1.7003472781655145,-0.8347880299251871,23.33878551559136,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:30:05.046240+00:00,BILLUSDT,-0.9092507907812745,5.079318102035092,-0.21199060147562818,50.059939349086484,30.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:30:05.756371+00:00,1000PEPEUSDT,-0.7328446201018364,-0.9954251021129293,-0.15568792480331353,43.04286294633383,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:30:06.397873+00:00,CRCLUSDT,-0.32243825375409974,-1.6439411762360252,-0.4588545095457537,31.373475467002784,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:30:06.981921+00:00,MUUSDT,-0.31941030329885767,9.419250800000786,0.32625189681335365,75.59525878475837,30.0,WHALE ACCUMULATION,WHALE ACCUMULATION,LOW,,15,30
2026-05-15T08:30:07.451866+00:00,ADAUSDT,-1.0629021887166206,0.11505528904653128,-0.5567110678408639,30.61276112676785,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:30:08.053138+00:00,INJUSDT,0.23039432355362088,-1.3471305464322905,-0.8078880407124682,19.584387342462115,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:30:08.559226+00:00,LINKUSDT,-1.6810852549833777,0.4528667719910365,-0.8253434973006789,21.6758633170728,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:30:09.033821+00:00,AVAXUSDT,-0.17831002068442436,-1.9770159198076027,0.273371104815864,56.52053115508719,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:30:09.428903+00:00,TAOUSDT,0.9322225748878333,-0.5224168444820095,-0.6526911806825444,26.272210068945398,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:30:09.827369+00:00,SNDKUSDT,0.41688731118601235,-4.269880989656771,0.5566393958464442,63.448043433326426,20.0,NEUTRAL FLOW,BUY PRESSURE,LOW,,0,0
2026-05-15T08:30:10.594679+00:00,MLNUSDT,-5.696029541177281,-20.234304251591947,-0.8129521463539043,6.356981548495443,45.0,NEUTRAL FLOW,SELL PRESSURE,MODERATE,SHORTS CROWDED,5,5
2026-05-15T08:30:11.081005+00:00,SIRENUSDT,-0.3781755513917425,-0.2769629033227118,0.49097345132743364,67.00442915320727,45.0,NEUTRAL FLOW,BUY PRESSURE,MODERATE,SHORTS CROWDED,5,5
2026-05-15T08:30:28.091557+00:00,BZUSDT,0.9157170864121265,1.3039196228477652,0.48764999950698606,69.5594633085098,20.0,NEUTRAL FLOW,BUY PRESSURE,LOW,,0,25
2026-05-15T08:30:28.420138+00:00,LABUSDT,-0.5131585922487838,5.725312202437398,0.06833746764452114,60.42851982293274,10.0,NEUTRAL FLOW,NORMAL,LOW,,0,30
2026-05-15T08:30:28.753687+00:00,1000PEPEUSDT,-0.7328446201018364,-0.9954251021129293,0.08794812509582811,51.35624222867885,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,30
2026-05-15T08:30:29.082754+00:00,PLAYUSDT,-2.3793773693978855,-3.712080990857982,0.033188304226715,45.9595013724826,20.0,NEUTRAL FLOW,NORMAL,LOW,SHORTS CROWDED,5,35
2026-05-15T08:30:29.396792+00:00,BTCUSDT,-1.0550037860903652,-0.4106559208052494,-0.5790512575612862,28.97932653953931,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:30:29.711763+00:00,ETHUSDT,-0.7473776442435512,1.4204401351724454,-0.3510327994607034,39.6793990392106,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:30:30.078747+00:00,SOLUSDT,0.45617289018010154,1.0915000411328604,-0.3279213011637487,39.96241944961795,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:30:30.408767+00:00,XAGUSDT,5.960820849459137,2.5507434250554297,-0.2026629333313787,46.37494775607822,40.0,NEUTRAL FLOW,NORMAL,LOW,LONGS CROWDED,-10,5
2026-05-15T08:30:30.867039+00:00,XRPUSDT,-1.0770673620962974,-1.65106922716854,0.4468251647585416,62.889239383134026,20.0,NEUTRAL FLOW,BUY PRESSURE,LOW,,0,15
2026-05-15T08:30:31.187200+00:00,XAUUSDT,3.9313357434920113,3.4432928793403366,-0.3569324580283105,42.489993874762334,50.0,NEUTRAL FLOW,NORMAL,MODERATE,LONGS CROWDED,-10,5
2026-05-15T08:30:31.506760+00:00,HYPEUSDT,0.7934415681029785,1.1714479529558532,-0.3142370056296517,40.61478765915069,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:30:31.837088+00:00,DOGEUSDT,-1.9374838347561525,-0.2569573178384864,-0.4244734554296219,34.442729049577345,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:30:32.149293+00:00,ZECUSDT,-0.435003039675156,-0.3990889253328563,-0.21546830221053964,41.562478730701116,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:30:32.467721+00:00,CLUSDT,0.8560898626490749,7.995006611379394,0.10172913151341603,65.99140752143349,10.0,NEUTRAL FLOW,BUY PRESSURE,LOW,,0,15
2026-05-15T08:30:32.802925+00:00,BNBUSDT,-0.8934060970941015,1.7003472781655145,-0.3850077096429843,38.891113239417635,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:30:33.134301+00:00,BILLUSDT,-0.9092507907812745,5.079318102035092,-0.11699003472360643,53.38495918540725,10.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:30:33.453826+00:00,SUIUSDT,1.0849149487145597,3.0417169992678206,-0.40759085357273156,39.65134035909122,30.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:30:33.799029+00:00,TONUSDT,-0.816063295435725,-1.1151646829441662,-0.8220785265496205,19.06477917665238,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:30:34.132664+00:00,CRCLUSDT,-0.32243825375409974,-1.6439411762360252,-0.47615491835921936,30.398709731878245,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:30:34.446163+00:00,MUUSDT,-0.31941030329885767,9.419250800000786,-0.5888665011011667,43.02967386625924,30.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:30:34.780745+00:00,ADAUSDT,-1.0629021887166206,0.11505528904653128,-0.3210897944895537,38.63470239694871,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:30:35.124421+00:00,INJUSDT,0.23039432355362088,-1.3471305464322905,-0.5004212148912907,30.226890833250263,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:30:35.439645+00:00,LINKUSDT,-1.6810852549833777,0.4528667719910365,-0.6194499278603811,28.707516594398232,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:30:35.773190+00:00,AVAXUSDT,-0.17831002068442436,-1.9770159198076027,-0.6876265182186235,22.721747081366825,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:30:36.092579+00:00,UBUSDT,-0.3408910103416417,-2.4968805573846296,-0.27700785383446536,37.12283494644306,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:30:36.412551+00:00,TAOUSDT,0.9322225748878333,-0.5224168444820095,-0.36067609189252225,36.3927648361536,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:30:36.771205+00:00,AIGENSYNUSDT,-3.3562649082533516,9.301881059540065,-0.06138214445164684,61.3781890739969,55.0,NEUTRAL FLOW,NORMAL,MODERATE,SHORTS CROWDED,5,5
2026-05-15T08:30:37.086460+00:00,SNDKUSDT,0.41688731118601235,-4.269880989656771,0.29690629868684626,54.03774999783492,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,0
2026-05-15T08:30:37.407357+00:00,MLNUSDT,-5.696029541177281,-20.234304251591947,-0.6523266983954088,11.346561129983021,45.0,NEUTRAL FLOW,SELL PRESSURE,MODERATE,SHORTS CROWDED,5,5
2026-05-15T08:30:37.728640+00:00,SIRENUSDT,-0.3781755513917425,-0.2769629033227118,0.334101538670101,61.789015373887025,45.0,NEUTRAL FLOW,NORMAL,MODERATE,SHORTS CROWDED,5,5
2026-05-15T08:30:53.899281+00:00,CLUSDT,0.8560898626490749,7.995006611379394,0.05768954752592481,64.46994835466195,10.0,NEUTRAL FLOW,BUY PRESSURE,LOW,,0,40
2026-05-15T08:30:54.408153+00:00,BZUSDT,0.9157170864121265,1.3039196228477652,0.2610175304375354,61.493368418205606,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,40
2026-05-15T08:30:54.886994+00:00,LABUSDT,-0.5131585922487838,5.725312202437398,0.11573044268304145,62.228747715654116,10.0,NEUTRAL FLOW,BUY PRESSURE,LOW,,0,30
2026-05-15T08:30:55.390046+00:00,BTCUSDT,-1.0550037860903652,-0.4106559208052494,-0.4890821569478701,31.955813490129945,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:30:55.824691+00:00,ETHUSDT,-0.7473776442435512,1.4204401351724454,-0.3817259837033681,38.42582112378437,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:30:56.158533+00:00,SOLUSDT,0.45617289018010154,1.0915000411328604,-0.15104975956050753,45.97729223119791,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:30:56.474802+00:00,XAGUSDT,5.960820849459137,2.5507434250554297,-0.25710877343559785,44.264792086769596,40.0,NEUTRAL FLOW,NORMAL,LOW,LONGS CROWDED,-10,5
2026-05-15T08:30:56.787869+00:00,XRPUSDT,-1.0770673620962974,-1.65106922716854,0.33838393471259315,58.88901817452924,20.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:30:57.367460+00:00,XAUUSDT,3.9313357434920113,3.4432928793403366,-0.24891176567413184,46.19314895776784,50.0,NEUTRAL FLOW,NORMAL,MODERATE,LONGS CROWDED,-10,5
2026-05-15T08:30:57.890199+00:00,HYPEUSDT,0.7934415681029785,1.1714479529558532,-0.4199027396438163,36.68070484879904,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:30:58.371628+00:00,DOGEUSDT,-1.9374838347561525,-0.2569573178384864,-0.4314267487662954,33.97167309184009,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:30:58.897027+00:00,ZECUSDT,-0.435003039675156,0.09108697081553488,-0.37599046522036933,36.69434173477619,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:30:59.460642+00:00,AIGENSYNUSDT,-3.3562649082533516,9.301881059540065,0.018717388605251354,64.9915619040489,55.0,NEUTRAL FLOW,BUY PRESSURE,MODERATE,SHORTS CROWDED,5,20
2026-05-15T08:31:00.016600+00:00,BNBUSDT,-0.8934060970941015,1.7003472781655145,-0.41812846429735884,37.60620544343476,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:31:00.698264+00:00,BILLUSDT,-0.9092507907812745,5.079318102035092,-0.08740811372799122,54.41161599823385,10.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:31:01.319445+00:00,SUIUSDT,1.0849149487145597,3.0417169992678206,-0.3515637953894018,41.612287395507764,30.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:31:01.991350+00:00,1000PEPEUSDT,-0.7328446201018364,-0.9954251021129293,-0.3074111859082323,37.35949799814143,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:31:02.546805+00:00,SNDKUSDT,0.41688731118601235,-4.269880989656771,0.09845050409364647,46.761991946511245,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:31:03.098805+00:00,TONUSDT,-0.816063295435725,-1.1151646829441662,-0.7791468654502802,20.43295289991897,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:31:03.601766+00:00,CRCLUSDT,-0.32243825375409974,-1.6439411762360252,-0.4278327538557547,32.03963302222862,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:31:04.147011+00:00,MUUSDT,-0.31941030329885767,9.419250800000786,-0.22147753236862136,55.57646492955382,30.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:31:04.459862+00:00,ADAUSDT,-1.0629021887166206,0.11505528904653128,-0.34211257770817655,37.89890498429691,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:31:04.777515+00:00,INJUSDT,0.23039432355362088,0.2585706497657477,-0.4876844775921303,32.52666317257031,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:31:05.097999+00:00,LINKUSDT,-1.6810852549833777,0.4528667719910365,-0.6513128598024539,27.53410675873069,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:31:05.431774+00:00,PLAYUSDT,-2.3793773693978855,-2.7165066510514246,-0.35500351062886115,32.62163984540978,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,SHORTS CROWDED,5,20
2026-05-15T08:31:05.752177+00:00,AVAXUSDT,-0.17831002068442436,-1.9770159198076027,-0.5999859001022243,25.707235081684114,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:31:06.201104+00:00,UBUSDT,-0.3408910103416417,-2.4968805573846296,-0.015535202286997977,46.32803781410215,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:31:06.722321+00:00,TAOUSDT,0.9322225748878333,-0.5224168444820095,-0.6463877989847265,26.239562632581237,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
